id,type,url,method,param,payload,evidence,severity,risk_score,risk_level,is_false_positive
439,idor,https://vulnerableapp.net/cart,GET,user_id,531,Unauthorized access to resource user_id=531,low,3.0,low,True
440,sql_injection,https://example.com/admin,POST,order_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',medium,5.5,medium,False
441,file_inclusion,https://webapp.com/settings,POST,path,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,4.5,medium,False
442,file_inclusion,https://webapp.com/product,POST,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,5.5,medium,False
443,idor,https://webapp.com/login,PUT,doc_id,356,Unauthorized access to resource doc_id=356,low,3.8,low,False
444,csrf,https://securitytesting.io/product,PUT,,,No CSRF token found in form submission,high,7.6,high,False
445,sql_injection,https://testsite.org/api/users,PUT,id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',high,6.7,high,True
446,xss,https://webapp.com/admin,PUT,message,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,low,1.7,info,False
447,file_inclusion,https://vulnerableapp.net/login,POST,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,7.4,high,False
448,idor,https://webapp.com/product,PUT,file_id,679,Unauthorized access to resource file_id=679,critical,9.7,critical,False
449,command_injection,https://example.com/checkout,DELETE,cmd,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,4.6,medium,True
450,xss,https://example.com/settings,DELETE,q,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,high,6.7,high,False
451,file_inclusion,https://testsite.org/search,DELETE,path,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,5.1,medium,False
452,csrf,https://testsite.org/user,DELETE,,,No CSRF token found in form submission,medium,4.3,medium,False
453,sql_injection,https://vulnerableapp.net/register,PUT,order_id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",high,7.1,high,False
454,idor,https://securitytesting.io/checkout,PUT,user_id,656,Unauthorized access to resource user_id=656,medium,5.4,medium,True
455,sql_injection,https://securitytesting.io/api/users,POST,order_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',medium,5.5,medium,False
456,sql_injection,https://testsite.org/admin,PUT,category_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',medium,6.9,high,True
457,csrf,https://webapp.com/product,PUT,,,No CSRF token found in form submission,high,6.7,high,True
458,xss,https://securitytesting.io/register,DELETE,q,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,high,6.4,high,False
459,command_injection,https://example.com/product,PUT,cmd,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,6.8,high,False
460,file_inclusion,https://example.com/api/users,POST,path,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,7.4,high,True
461,sql_injection,https://example.com/api/products,POST,id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',medium,4.1,medium,True
462,xss,https://securitytesting.io/admin,DELETE,comment,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,medium,4.8,medium,False
463,idor,https://testsite.org/search,POST,user_id,643,Unauthorized access to resource user_id=643,critical,10.0,critical,True
464,csrf,https://testsite.org/register,GET,,,No CSRF token found in form submission,medium,5.4,medium,False
465,command_injection,https://webapp.com/admin,PUT,file,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,3.9,low,True
466,file_inclusion,https://testsite.org/settings,POST,cmd,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,high,6.5,high,False
467,xss,https://example.com/search,DELETE,q,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,low,1.7,info,False
468,idor,https://testsite.org/register,PUT,account_id,922,Unauthorized access to resource account_id=922,critical,8.3,critical,False
469,file_inclusion,https://testsite.org/user,GET,url,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,5.8,medium,False
470,command_injection,https://securitytesting.io/login,PUT,cmd,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,4.5,medium,False
471,csrf,https://testsite.org/search,GET,,,No CSRF token found in form submission,medium,5.8,medium,False
472,csrf,https://vulnerableapp.net/user,DELETE,,,No CSRF token found in form submission,high,6.8,high,False
473,xss,https://webapp.com/cart,POST,comment,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",low,3.9,low,False
474,sql_injection,https://example.com/login,PUT,user_id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",critical,8.3,critical,False
475,command_injection,https://securitytesting.io/search,POST,file,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,5.5,medium,False
476,xss,https://securitytesting.io/checkout,POST,q,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",medium,5.0,medium,False
477,sql_injection,https://testsite.org/search,POST,order_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',low,3.0,low,False
478,command_injection,https://example.com/settings,DELETE,exec,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,high,7.0,high,True
479,sql_injection,https://webapp.com/register,PUT,user_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',low,3.4,low,False
480,csrf,https://vulnerableapp.net/admin,DELETE,,,No CSRF token found in form submission,high,7.6,high,False
481,xss,https://vulnerableapp.net/api/users,POST,name,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",high,8.4,critical,False
482,xss,https://securitytesting.io/settings,GET,name,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,high,8.3,critical,False
483,sql_injection,https://vulnerableapp.net/cart,PUT,category_id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",high,6.6,high,False
484,sql_injection,https://webapp.com/checkout,PUT,user_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',low,2.1,low,False
485,csrf,https://webapp.com/user,DELETE,,,No CSRF token found in form submission,high,7.1,high,False
486,idor,https://securitytesting.io/checkout,PUT,user_id,230,Unauthorized access to resource user_id=230,critical,9.1,critical,False
487,command_injection,https://vulnerableapp.net/cart,PUT,url,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,low,3.8,low,True
488,sql_injection,https://vulnerableapp.net/settings,POST,product_id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",medium,4.2,medium,False
489,csrf,https://vulnerableapp.net/login,POST,,,No CSRF token found in form submission,low,2.7,low,False
490,idor,https://securitytesting.io/api/users,POST,file_id,937,Unauthorized access to resource file_id=937,medium,5.6,medium,False
491,command_injection,https://example.com/cart,POST,exec,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,5.1,medium,False
492,sql_injection,https://securitytesting.io/api/users,POST,category_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',high,6.5,high,True
493,command_injection,https://vulnerableapp.net/api/products,PUT,cmd,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,5.5,medium,False
494,idor,https://vulnerableapp.net/api/users,DELETE,account_id,636,Unauthorized access to resource account_id=636,medium,4.9,medium,True
495,csrf,https://example.com/checkout,DELETE,,,No CSRF token found in form submission,medium,4.8,medium,True
496,file_inclusion,https://example.com/product,PUT,cmd,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,5.3,medium,True
497,file_inclusion,https://webapp.com/cart,POST,file,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,4.5,medium,False
498,idor,https://testsite.org/search,DELETE,file_id,387,Unauthorized access to resource file_id=387,low,4.8,medium,False
499,command_injection,https://vulnerableapp.net/register,PUT,url,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,7.1,high,True
500,sql_injection,https://webapp.com/search,POST,id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',high,6.4,high,False
501,idor,https://webapp.com/login,POST,file_id,830,Unauthorized access to resource file_id=830,low,3.8,low,False
502,command_injection,https://example.com/cart,DELETE,url,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,high,7.5,high,True
503,command_injection,https://securitytesting.io/profile,PUT,cmd,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,6.0,high,False
504,file_inclusion,https://vulnerableapp.net/settings,PUT,exec,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,5.7,medium,False
505,idor,https://vulnerableapp.net/api/users,POST,account_id,359,Unauthorized access to resource account_id=359,high,7.3,high,False
506,sql_injection,https://securitytesting.io/checkout,PUT,product_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',low,2.6,low,True
507,file_inclusion,https://testsite.org/product,POST,file,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,info,1.0,info,False
508,xss,https://webapp.com/api/users,DELETE,q,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,high,7.0,high,False
509,xss,https://webapp.com/admin,POST,name,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,medium,5.7,medium,False
510,command_injection,https://vulnerableapp.net/api/products,PUT,cmd,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,4.6,medium,False
511,idor,https://webapp.com/profile,POST,user_id,823,Unauthorized access to resource user_id=823,high,6.7,high,True
512,idor,https://testsite.org/cart,DELETE,doc_id,183,Unauthorized access to resource doc_id=183,high,7.1,high,False
513,file_inclusion,https://example.com/user,DELETE,exec,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,low,2.9,low,False
514,file_inclusion,https://testsite.org/api/products,GET,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,4.0,medium,True
515,sql_injection,https://securitytesting.io/settings,DELETE,order_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',medium,5.9,medium,False
516,sql_injection,https://vulnerableapp.net/api/products,GET,category_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',medium,5.4,medium,False
517,csrf,https://webapp.com/settings,GET,,,No CSRF token found in form submission,high,7.8,high,False
518,command_injection,https://example.com/api/products,DELETE,url,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,info,1.8,info,False
519,xss,https://securitytesting.io/profile,POST,comment,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,high,6.8,high,False
520,csrf,https://testsite.org/api/users,DELETE,,,No CSRF token found in form submission,medium,5.4,medium,False
521,xss,https://webapp.com/admin,POST,q,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",medium,4.7,medium,False
522,xss,https://vulnerableapp.net/admin,DELETE,q,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,info,1.3,info,False
523,sql_injection,https://testsite.org/product,GET,user_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',critical,9.2,critical,False
524,csrf,https://securitytesting.io/api/products,GET,,,No CSRF token found in form submission,medium,5.3,medium,False
525,sql_injection,https://securitytesting.io/api/products,GET,id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',info,2.1,low,False
526,csrf,https://vulnerableapp.net/search,POST,,,No CSRF token found in form submission,medium,4.3,medium,False
527,xss,https://securitytesting.io/search,PUT,name,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,high,7.2,high,True
528,idor,https://testsite.org/cart,POST,doc_id,338,Unauthorized access to resource doc_id=338,critical,8.4,critical,False
529,idor,https://webapp.com/login,POST,doc_id,357,Unauthorized access to resource doc_id=357,medium,4.9,medium,False
530,idor,https://testsite.org/profile,GET,doc_id,485,Unauthorized access to resource doc_id=485,medium,5.0,medium,False
531,xss,https://testsite.org/profile,GET,q,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,low,4.3,medium,False
532,idor,https://vulnerableapp.net/user,GET,account_id,148,Unauthorized access to resource account_id=148,medium,5.9,medium,False
533,sql_injection,https://testsite.org/settings,GET,user_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',critical,9.3,critical,False
534,sql_injection,https://example.com/search,GET,product_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',medium,4.9,medium,True
535,xss,https://webapp.com/user,GET,search,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",high,7.0,high,False
536,file_inclusion,https://webapp.com/api/products,PUT,url,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,info,0.5,info,False
537,command_injection,https://testsite.org/checkout,GET,file,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,6.8,high,True
538,xss,https://example.com/cart,DELETE,comment,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",medium,4.7,medium,False
539,command_injection,https://example.com/settings,PUT,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,7.0,high,False
540,idor,https://vulnerableapp.net/cart,DELETE,file_id,530,Unauthorized access to resource file_id=530,critical,9.6,critical,False
541,idor,https://webapp.com/admin,POST,file_id,456,Unauthorized access to resource file_id=456,low,2.0,low,False
542,idor,https://vulnerableapp.net/register,GET,doc_id,654,Unauthorized access to resource doc_id=654,low,3.9,low,False
543,xss,https://vulnerableapp.net/checkout,POST,comment,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",medium,3.4,low,False
544,csrf,https://webapp.com/api/users,DELETE,,,No CSRF token found in form submission,medium,4.3,medium,False
545,xss,https://testsite.org/settings,PUT,comment,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,high,5.8,medium,False
546,command_injection,https://testsite.org/api/users,DELETE,exec,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,high,6.5,high,False
547,idor,https://vulnerableapp.net/api/products,GET,account_id,782,Unauthorized access to resource account_id=782,medium,5.5,medium,False
548,file_inclusion,https://webapp.com/profile,GET,cmd,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,critical,9.9,critical,False
549,csrf,https://testsite.org/settings,POST,,,No CSRF token found in form submission,medium,5.5,medium,False
550,file_inclusion,https://testsite.org/profile,POST,file,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,4.0,medium,False
551,file_inclusion,https://webapp.com/settings,GET,url,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,7.5,high,False
552,xss,https://testsite.org/user,PUT,search,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,low,4.3,medium,False
553,command_injection,https://securitytesting.io/register,POST,path,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,critical,7.6,high,False
554,idor,https://webapp.com/login,POST,doc_id,673,Unauthorized access to resource doc_id=673,medium,3.9,low,True
555,idor,https://example.com/user,PUT,account_id,311,Unauthorized access to resource account_id=311,info,1.1,info,True
556,csrf,https://securitytesting.io/api/users,PUT,,,No CSRF token found in form submission,medium,4.6,medium,False
557,idor,https://securitytesting.io/login,PUT,doc_id,756,Unauthorized access to resource doc_id=756,info,0.1,info,False
558,csrf,https://example.com/user,PUT,,,No CSRF token found in form submission,critical,9.1,critical,False
559,idor,https://vulnerableapp.net/product,GET,file_id,822,Unauthorized access to resource file_id=822,medium,3.7,low,False
560,idor,https://example.com/api/users,PUT,user_id,554,Unauthorized access to resource user_id=554,medium,5.6,medium,True
561,file_inclusion,https://testsite.org/user,PUT,cmd,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,5.4,medium,False
562,file_inclusion,https://vulnerableapp.net/api/products,PUT,file,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,low,3.7,low,False
563,sql_injection,https://example.com/login,GET,category_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',high,6.0,high,True
564,idor,https://example.com/checkout,PUT,user_id,671,Unauthorized access to resource user_id=671,low,3.1,low,False
565,file_inclusion,https://example.com/login,DELETE,cmd,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,5.8,medium,False
566,csrf,https://securitytesting.io/profile,GET,,,No CSRF token found in form submission,medium,4.8,medium,True
567,command_injection,https://testsite.org/register,DELETE,cmd,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,low,2.4,low,False
568,csrf,https://securitytesting.io/search,DELETE,,,No CSRF token found in form submission,critical,9.1,critical,False
569,command_injection,https://example.com/search,POST,path,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,low,3.5,low,False
570,file_inclusion,https://webapp.com/api/products,GET,path,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,info,0.1,info,False
571,xss,https://example.com/api/products,GET,comment,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",low,4.4,medium,False
572,xss,https://testsite.org/profile,DELETE,q,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,medium,3.5,low,False
573,file_inclusion,https://securitytesting.io/profile,GET,path,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,info,2.1,low,False
574,command_injection,https://example.com/cart,DELETE,path,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,6.0,high,True
575,file_inclusion,https://vulnerableapp.net/product,PUT,exec,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,5.9,medium,True
576,file_inclusion,https://vulnerableapp.net/product,GET,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,low,2.7,low,False
577,xss,https://vulnerableapp.net/settings,GET,q,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,medium,4.6,medium,False
578,xss,https://securitytesting.io/api/users,POST,name,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,low,3.0,low,True
579,sql_injection,https://example.com/cart,DELETE,product_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',medium,4.2,medium,False
580,csrf,https://testsite.org/settings,POST,,,No CSRF token found in form submission,medium,5.2,medium,False
581,file_inclusion,https://example.com/admin,PUT,path,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,high,8.1,critical,False
582,sql_injection,https://testsite.org/profile,DELETE,product_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',critical,8.3,critical,False
583,command_injection,https://securitytesting.io/api/products,GET,url,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,4.9,medium,False
584,sql_injection,https://securitytesting.io/settings,PUT,category_id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",high,5.9,medium,False
585,sql_injection,https://example.com/register,POST,id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',medium,4.1,medium,False
586,xss,https://testsite.org/login,POST,comment,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,high,6.7,high,False
587,file_inclusion,https://securitytesting.io/product,POST,file,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,info,1.1,info,False
588,xss,https://securitytesting.io/cart,PUT,name,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",high,6.7,high,False
589,idor,https://testsite.org/api/users,GET,account_id,449,Unauthorized access to resource account_id=449,low,2.6,low,False
590,command_injection,https://webapp.com/settings,DELETE,file,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,high,6.8,high,False
591,sql_injection,https://securitytesting.io/profile,PUT,order_id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",medium,4.1,medium,True
592,sql_injection,https://securitytesting.io/login,POST,user_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',medium,5.3,medium,False
593,command_injection,https://webapp.com/product,PUT,path,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,4.9,medium,False
594,idor,https://vulnerableapp.net/user,PUT,file_id,524,Unauthorized access to resource file_id=524,high,6.4,high,False
595,command_injection,https://webapp.com/api/users,DELETE,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,5.5,medium,False
596,csrf,https://vulnerableapp.net/checkout,DELETE,,,No CSRF token found in form submission,info,0.1,info,False
597,idor,https://vulnerableapp.net/settings,PUT,user_id,917,Unauthorized access to resource user_id=917,critical,8.9,critical,False
598,command_injection,https://securitytesting.io/settings,PUT,file,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,4.7,medium,True
599,csrf,https://vulnerableapp.net/admin,POST,,,No CSRF token found in form submission,medium,5.1,medium,False
600,idor,https://webapp.com/admin,DELETE,doc_id,292,Unauthorized access to resource doc_id=292,high,7.4,high,False
601,command_injection,https://testsite.org/register,POST,path,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,5.1,medium,False
602,command_injection,https://testsite.org/login,DELETE,path,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,6.6,high,False
603,file_inclusion,https://webapp.com/cart,DELETE,cmd,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,7.2,high,False
604,xss,https://vulnerableapp.net/admin,POST,comment,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,info,2.4,low,True
605,idor,https://securitytesting.io/product,DELETE,user_id,122,Unauthorized access to resource user_id=122,medium,5.1,medium,False
606,idor,https://webapp.com/api/users,GET,account_id,300,Unauthorized access to resource account_id=300,medium,5.0,medium,True
607,command_injection,https://webapp.com/cart,GET,file,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,low,3.9,low,False
608,xss,https://vulnerableapp.net/cart,GET,comment,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,medium,5.8,medium,False
609,sql_injection,https://testsite.org/admin,DELETE,product_id,"' UNION SELECT 1,2,3 --","SQL error in response: You have an error in your SQL syntax near '' UNION SELECT 1,2,3 --'",medium,4.2,medium,False
610,idor,https://securitytesting.io/user,DELETE,account_id,497,Unauthorized access to resource account_id=497,high,6.3,high,False
611,csrf,https://securitytesting.io/user,PUT,,,No CSRF token found in form submission,medium,4.5,medium,False
612,idor,https://testsite.org/api/products,POST,user_id,642,Unauthorized access to resource user_id=642,medium,4.1,medium,False
613,file_inclusion,https://vulnerableapp.net/register,DELETE,url,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,4.5,medium,False
614,sql_injection,https://example.com/settings,PUT,order_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',low,4.3,medium,True
615,xss,https://securitytesting.io/api/users,DELETE,search,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,medium,6.7,high,False
616,file_inclusion,https://example.com/api/products,PUT,file,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,medium,4.3,medium,False
617,command_injection,https://webapp.com/checkout,DELETE,url,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,low,2.6,low,False
618,csrf,https://vulnerableapp.net/settings,PUT,,,No CSRF token found in form submission,medium,4.7,medium,False
619,command_injection,https://securitytesting.io/cart,POST,file,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,8.0,critical,False
620,sql_injection,https://webapp.com/register,DELETE,product_id,' OR 1=1 --,SQL error in response: You have an error in your SQL syntax near '' OR 1=1 --',low,3.7,low,False
621,sql_injection,https://testsite.org/login,DELETE,order_id,admin'--,SQL error in response: You have an error in your SQL syntax near 'admin'--',high,6.5,high,False
622,command_injection,https://testsite.org/admin,POST,cmd,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,critical,7.5,high,False
623,csrf,https://webapp.com/search,DELETE,,,No CSRF token found in form submission,critical,8.8,critical,False
624,file_inclusion,https://vulnerableapp.net/settings,PUT,file,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,high,7.1,high,False
625,xss,https://webapp.com/user,GET,comment,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,high,6.8,high,False
626,csrf,https://webapp.com/login,DELETE,,,No CSRF token found in form submission,high,7.6,high,False
627,file_inclusion,https://webapp.com/cart,DELETE,url,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,low,4.8,medium,False
628,command_injection,https://vulnerableapp.net/cart,GET,path,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,info,1.2,info,False
629,file_inclusion,https://testsite.org/register,DELETE,exec,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,3.8,low,False
630,file_inclusion,https://webapp.com/login,PUT,url,?cmd=whoami,Successful exploitation with payload: ?cmd=whoami,low,3.1,low,True
631,idor,https://webapp.com/login,POST,account_id,486,Unauthorized access to resource account_id=486,high,8.9,critical,False
632,idor,https://securitytesting.io/login,DELETE,account_id,622,Unauthorized access to resource account_id=622,critical,8.5,critical,False
633,file_inclusion,https://webapp.com/api/users,POST,path,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,low,3.2,low,False
634,csrf,https://webapp.com/api/users,POST,,,No CSRF token found in form submission,medium,3.6,low,True
635,xss,https://testsite.org/admin,POST,comment,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,low,2.3,low,False
636,csrf,https://testsite.org/admin,GET,,,No CSRF token found in form submission,medium,4.4,medium,False
637,command_injection,https://vulnerableapp.net/api/users,DELETE,file,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,3.7,low,False
638,xss,https://example.com/search,POST,search,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",medium,5.2,medium,False
639,xss,https://example.com/register,GET,search,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",low,2.8,low,True
640,idor,https://securitytesting.io/cart,PUT,account_id,567,Unauthorized access to resource account_id=567,medium,4.7,medium,True
641,xss,https://example.com/cart,GET,message,"""><script>alert(1)</script>","Payload ""><script>alert(1)</script> reflected in response",critical,8.7,critical,False
642,command_injection,https://testsite.org/product,POST,url,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,high,7.3,high,True
643,idor,https://securitytesting.io/user,GET,doc_id,953,Unauthorized access to resource doc_id=953,medium,5.6,medium,True
644,file_inclusion,https://testsite.org/register,DELETE,file,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,5.0,medium,False
645,xss,https://vulnerableapp.net/product,GET,name,<script>alert(1)</script>,Payload <script>alert(1)</script> reflected in response,high,7.6,high,False
646,sql_injection,https://vulnerableapp.net/cart,PUT,user_id,1' OR '1'='1,SQL error in response: You have an error in your SQL syntax near '1' OR '1'='1',high,6.8,high,False
647,idor,https://securitytesting.io/search,DELETE,doc_id,822,Unauthorized access to resource doc_id=822,medium,4.2,medium,False
648,file_inclusion,https://testsite.org/register,POST,path,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,medium,5.8,medium,False
649,csrf,https://webapp.com/admin,PUT,,,No CSRF token found in form submission,high,8.0,critical,False
650,xss,https://example.com/cart,DELETE,q,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,critical,8.6,critical,False
651,command_injection,https://testsite.org/api/users,DELETE,exec,../../../etc/passwd,Successful exploitation with payload: ../../../etc/passwd,medium,6.5,high,False
652,xss,https://webapp.com/product,DELETE,name,<img src=x onerror=alert(1)>,Payload <img src=x onerror=alert(1)> reflected in response,high,7.9,high,False
653,file_inclusion,https://example.com/checkout,GET,url,| cat /etc/passwd,Successful exploitation with payload: | cat /etc/passwd,high,6.7,high,False
